iter	Passed	Remaining
690	1357	607
691	1359	604
692	1360	602
693	1361	600
694	1363	598
695	1364	596
696	1366	593
697	1367	591
698	1369	589
699	1370	587
700	1372	585
701	1373	583
702	1375	580
703	1376	578
704	1377	576
705	1378	574
706	1380	572
707	1381	569
708	1384	568
709	1385	565
710	1387	563
711	1388	561
712	1389	559
713	1391	557
714	1392	555
715	1393	552
716	1395	550
717	1396	548
718	1403	548
719	1405	546
720	1407	544
721	1412	544
722	1415	542
723	1417	540
724	1420	538
725	1432	540
726	1434	538
727	1436	536
728	1438	534
729	1441	532
730	1443	531
731	1445	529
732	1447	527
733	1464	530
734	1467	528
735	1469	526
736	1474	526
737	1476	524
738	1478	522
739	1481	520
740	1483	518
741	1486	516
742	1488	515
743	1509	519
744	1511	517
745	1513	515
746	1515	513
747	1517	511
748	1521	509
749	1525	508
750	1529	507
751	1531	505
752	1533	502
753	1535	500
754	1537	498
755	1539	496
756	1541	494
757	1544	493
758	1553	493
759	1555	491
760	1557	489
761	1559	487
762	1561	485
763	1563	483
764	1566	481
765	1568	479
766	1570	476
767	1572	474
768	1574	472
769	1575	470
770	1577	468
771	1579	466
772	1581	464
773	1584	462
774	1587	460
775	1589	458
776	1591	456
777	1594	454
778	1596	452
779	1598	450
780	1600	448
781	1603	446
782	1605	444
783	1610	443
784	1612	441
785	1614	439
786	1616	437
787	1628	438
788	1631	436
789	1633	434
790	1636	432
791	1639	430
792	1641	428
793	1643	426
794	1645	424
795	1648	422
796	1651	420
797	1653	418
798	1656	416
799	1658	414
800	1711	425
801	1713	422
802	1716	421
803	1718	418
804	1720	416
805	1722	414
806	1724	412
807	1726	410
808	1731	408
809	1733	406
810	1735	404
811	1737	402
812	1741	400
813	1762	402
814	1764	400
815	1766	398
816	1769	396
817	1771	394
818	1774	392
819	1777	390
820	1779	388
821	1781	385
822	1783	383
823	1786	381
824	1794	380
825	1796	378
826	1805	377
827	1808	375
828	1810	373
829	1812	371
830	1814	369
831	1816	366
832	1819	364
833	1822	362
834	1825	360
835	1827	358
836	1831	356
837	1834	354
838	1836	352
839	1838	350
840	1840	348
841	1843	345
842	1846	343
843	1849	341
844	1851	339
845	1854	337
846	1856	335
847	1858	333
848	1860	330
849	1862	328
850	1864	326
851	1881	326
852	1885	324
853	1887	322
854	1889	320
855	1892	318
856	1894	316
857	1896	313
858	1899	311
859	1901	309
860	1904	307
861	1907	305
862	1909	303
863	1912	300
864	1914	298
865	1916	296
866	1924	295
867	1929	293
868	1931	291
869	1933	288
870	1956	289
871	1959	287
872	1961	285
873	1963	283
874	1965	280
875	1967	278
876	1970	276
877	1972	274
878	1974	271
879	1976	269
880	1979	267
881	1981	265
882	1989	263
883	1990	261
884	1992	258
885	1994	256
886	1996	254
887	2019	254
888	2021	252
889	2023	250
890	2026	247
891	2028	245
892	2031	243
893	2034	241
894	2036	238
895	2038	236
896	2040	234
897	2043	232
898	2045	229
899	2062	229
900	2064	226
901	2067	224
902	2069	222
903	2071	220
904	2073	217
905	2075	215
906	2078	213
907	2080	210
908	2082	208
909	2084	206
910	2086	203
911	2088	201
912	2090	199
913	2104	197
914	2105	195
915	2108	193
916	2111	191
917	2113	188
918	2115	186
919	2117	184
920	2120	181
921	2124	179
922	2126	177
923	2129	175
924	2134	173
925	2136	170
926	2158	169
927	2160	167
928	2162	165
929	2164	162
930	2165	160
931	2168	158
932	2171	155
933	2173	153
934	2174	151
935	2177	148
936	2179	146
937	2182	144
938	2184	141
939	2186	139
940	2187	137
941	2189	134
942	2191	132
943	2193	130
944	2206	128
945	2209	126
946	2211	123
947	2213	121
948	2215	119
949	2218	116
950	2220	114
951	2222	112
952	2225	109
953	2227	107
954	2229	105
955	2233	102
956	2235	100
957	2243	98
958	2247	96
959	2249	93
960	2253	91
961	2258	89
962	2260	86
963	2268	84
964	2284	82
965	2287	80
966	2290	78
967	2292	75
968	2295	73
969	2297	71
970	2298	68
971	2299	66
972	2301	63
973	2302	61
974	2304	59
975	2306	56
976	2308	54
977	2310	51
978	2311	49
979	2312	47
980	2314	44
981	2315	42
982	2317	40
983	2319	37
984	2321	35
985	2322	32
986	2324	30
987	2325	28
988	2327	25
989	2328	23
990	2329	21
991	2331	18
992	2332	16
993	2334	14
994	2335	11
995	2337	9
996	2338	7
997	2340	4
998	2341	2
999	2343	0
